itinerary_id,origin,destination,departure_date,return_date,price_raw,price_formatted,currency,outbound_duration,return_duration,outbound_stops,return_stops,outbound_carriers,return_carriers,outbound_departure,outbound_arrival,return_departure,return_arrival,score,is_self_transfer,search_key
10075-2607080835--32652-0-14325-2607081315|14325-2607162240--32652-0-10075-2607170635,BOM,MRU,2026-07-08,2026-07-16,54537.0,"₹54,537",INR,370,385,0,0,Air Mauritius,Air Mauritius,2026-07-08T08:35:00,2026-07-08T13:15:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.999,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607080835--32652-0-14325-2607081315|14325-2607172240--32652-0-10075-2607180635,BOM,MRU,2026-07-08,2026-07-17,54537.0,"₹54,537",INR,370,385,0,0,Air Mauritius,Air Mauritius,2026-07-08T08:35:00,2026-07-08T13:15:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.999,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607100835--32652-0-14325-2607101315|14325-2607162240--32652-0-10075-2607170635,BOM,MRU,2026-07-10,2026-07-16,56217.0,"₹56,217",INR,370,385,0,0,Air Mauritius,Air Mauritius,2026-07-10T08:35:00,2026-07-10T13:15:00,2026-07-16T22:40:00,2026-07-17T06:35:00,0.999,False,BOM-MRU_2026-07-10_2026-07-16
10075-2607100835--32652-0-14325-2607101315|14325-2607172240--32652-0-10075-2607180635,BOM,MRU,2026-07-10,2026-07-17,56217.0,"₹56,217",INR,370,385,0,0,Air Mauritius,Air Mauritius,2026-07-10T08:35:00,2026-07-10T13:15:00,2026-07-17T22:40:00,2026-07-18T06:35:00,0.999,False,BOM-MRU_2026-07-10_2026-07-17
10075-2607082220--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,700,660,1,1,IndiGo,IndiGo,2026-07-08T22:20:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.711501,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607081830--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,930,660,1,1,IndiGo,IndiGo,2026-07-08T18:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.588879,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607081700--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1020,660,1,1,IndiGo,IndiGo,2026-07-08T17:00:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.576145,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607081535--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1105,660,1,1,IndiGo,IndiGo,2026-07-08T15:35:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.570788,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607081430--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1170,660,1,1,IndiGo,IndiGo,2026-07-08T14:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.569121,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607081230--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1290,660,1,1,IndiGo,IndiGo,2026-07-08T12:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.378919,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607081100--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1380,660,1,1,IndiGo,IndiGo,2026-07-08T11:00:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.362202,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607080805--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1555,660,1,1,IndiGo,IndiGo,2026-07-08T08:05:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.333585,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607080630--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1650,660,1,1,IndiGo,IndiGo,2026-07-08T06:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.319866,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607080430--32213-1-14325-2607090830|14325-2607150930--32213-1-10075-2607152200,BOM,MRU,2026-07-08,2026-07-15,56516.0,"₹56,516",INR,1770,660,1,1,IndiGo,IndiGo,2026-07-08T04:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:00:00,0.304071,False,BOM-MRU_2026-07-08_2026-07-15
10075-2607082220--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,700,580,1,1,IndiGo,IndiGo,2026-07-08T22:20:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.552015,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081830--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,930,580,1,1,IndiGo,IndiGo,2026-07-08T18:30:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.499234,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081700--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1020,580,1,1,IndiGo,IndiGo,2026-07-08T17:00:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.491654,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081535--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1105,580,1,1,IndiGo,IndiGo,2026-07-08T15:35:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.4864,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081430--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1170,580,1,1,IndiGo,IndiGo,2026-07-08T14:30:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.484009,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081230--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1290,580,1,1,IndiGo,IndiGo,2026-07-08T12:30:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.381865,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607081100--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1380,580,1,1,IndiGo,IndiGo,2026-07-08T11:00:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.364331,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607080805--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1555,580,1,1,IndiGo,IndiGo,2026-07-08T08:05:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.334467,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607080630--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1650,580,1,1,IndiGo,IndiGo,2026-07-08T06:30:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.320219,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607080430--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,56516.0,"₹56,516",INR,1770,580,1,1,IndiGo,IndiGo,2026-07-08T04:30:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.303867,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607082220--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,700,1215,1,1,IndiGo,IndiGo,2026-07-08T22:20:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.372892,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081830--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,930,1215,1,1,IndiGo,IndiGo,2026-07-08T18:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.332908,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081700--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1020,1215,1,1,IndiGo,IndiGo,2026-07-08T17:00:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.319502,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081535--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1105,1215,1,1,IndiGo,IndiGo,2026-07-08T15:35:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.307796,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081430--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1170,1215,1,1,IndiGo,IndiGo,2026-07-08T14:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.299408,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081230--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1290,1215,1,1,IndiGo,IndiGo,2026-07-08T12:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.285065,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081100--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1380,1215,1,1,IndiGo,IndiGo,2026-07-08T11:00:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.275178,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607080805--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1555,1215,1,1,IndiGo,IndiGo,2026-07-08T08:05:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.257793,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607080630--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1650,1215,1,1,IndiGo,IndiGo,2026-07-08T06:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.249245,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607080430--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,56516.0,"₹56,516",INR,1770,1215,1,1,IndiGo,IndiGo,2026-07-08T04:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.239225,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607080950--32213-1-14325-2607090830|14325-2607160930--32213-1-10075-2607162040,BOM,MRU,2026-07-08,2026-07-16,57615.0,"₹57,615",INR,1450,580,1,1,IndiGo,IndiGo,2026-07-08T09:50:00,2026-07-09T08:30:00,2026-07-16T09:30:00,2026-07-16T20:40:00,0.345057,False,BOM-MRU_2026-07-08_2026-07-16
10075-2607080950--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180715,BOM,MRU,2026-07-08,2026-07-17,57615.0,"₹57,615",INR,1450,1215,1,1,IndiGo,IndiGo,2026-07-08T09:50:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T07:15:00,0.262839,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081830--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180530,BOM,MRU,2026-07-08,2026-07-17,57872.0,"₹57,872",INR,930,1110,1,1,IndiGo,IndiGo,2026-07-08T18:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T05:30:00,0.341841,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081700--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180530,BOM,MRU,2026-07-08,2026-07-17,57872.0,"₹57,872",INR,1020,1110,1,1,IndiGo,IndiGo,2026-07-08T17:00:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T05:30:00,0.327397,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081535--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180530,BOM,MRU,2026-07-08,2026-07-17,57872.0,"₹57,872",INR,1105,1110,1,1,IndiGo,IndiGo,2026-07-08T15:35:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T05:30:00,0.314833,False,BOM-MRU_2026-07-08_2026-07-17
10075-2607081230--32213-1-14325-2607090830|14325-2607170930--32213-1-10075-2607180530,BOM,MRU,2026-07-08,2026-07-17,57872.0,"₹57,872",INR,1290,1110,1,1,IndiGo,IndiGo,2026-07-08T12:30:00,2026-07-09T08:30:00,2026-07-17T09:30:00,2026-07-18T05:30:00,0.290565,False,BOM-MRU_2026-07-08_2026-07-17
9436-2607082100--32672-1-14325-2607090630|14325-2607160930--32672-1-9436-2607162255,AMD,MRU,2026-07-08,2026-07-16,57936.0,"₹57,936",INR,660,715,1,1,Air India,Air India,2026-07-08T21:00:00,2026-07-09T06:30:00,2026-07-16T09:30:00,2026-07-16T22:55:00,0.999,False,AMD-MRU_2026-07-08_2026-07-16
9436-2607081125--32672-1-14325-2607090630|14325-2607160930--32672-1-9436-2607162255,AMD,MRU,2026-07-08,2026-07-16,57936.0,"₹57,936",INR,1235,715,1,1,Air India,Air India,2026-07-08T11:25:00,2026-07-09T06:30:00,2026-07-16T09:30:00,2026-07-16T22:55:00,0.701852,False,AMD-MRU_2026-07-08_2026-07-16
9436-2607080600--32672-1-14325-2607090630|14325-2607160930--32672-1-9436-2607162255,AMD,MRU,2026-07-08,2026-07-16,57936.0,"₹57,936",INR,1560,715,1,1,Air India,Air India,2026-07-08T06:00:00,2026-07-09T06:30:00,2026-07-16T09:30:00,2026-07-16T22:55:00,0.494506,False,AMD-MRU_2026-07-08_2026-07-16
10957-2607082200--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607152215,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,720,675,1,1,IndiGo,IndiGo,2026-07-08T22:00:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:15:00,0.999,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607082045--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607152215,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,795,675,1,1,IndiGo,IndiGo,2026-07-08T20:45:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:15:00,0.725843,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607081700--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607152215,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1020,675,1,1,IndiGo,IndiGo,2026-07-08T17:00:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:15:00,0.664437,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607081545--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607152215,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1095,675,1,1,IndiGo,IndiGo,2026-07-08T15:45:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:15:00,0.656684,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607081430--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607160050,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1170,830,1,1,IndiGo,IndiGo,2026-07-08T14:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-16T00:50:00,0.54668,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607081215--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607160050,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1305,830,1,1,IndiGo,IndiGo,2026-07-08T12:15:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-16T00:50:00,0.512113,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607080930--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607152215,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1470,675,1,1,IndiGo,IndiGo,2026-07-08T09:30:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-15T22:15:00,0.509725,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607080820--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607160050,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1540,830,1,1,IndiGo,IndiGo,2026-07-08T08:20:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-16T00:50:00,0.461333,False,DEL-MRU_2026-07-08_2026-07-15
10957-2607080705--32213-1-14325-2607090830|14325-2607150930--32213-1-10957-2607160050,DEL,MRU,2026-07-08,2026-07-15,58021.0,"₹58,021",INR,1615,830,1,1,IndiGo,IndiGo,2026-07-08T07:05:00,2026-07-09T08:30:00,2026-07-15T09:30:00,2026-07-16T00:50:00,0.447182,False,DEL-MRU_2026-07-08_2026-07-15
